t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
32.40625000,28.00000000,28.00000000,13.30948110,41.01493154,1854.30463576,3726.65470687,234.69015171,7.00000000,degraded
32.41666667,28.00000000,28.00000000,13.32259217,41.05533506,1854.30463576,3730.32580799,234.95936776,7.00000000,degraded
32.42708333,28.00000000,28.00000000,13.33827579,41.10366622,1854.30463576,3734.71722169,235.28152162,7.00000000,degraded
32.43750000,28.00000000,28.00000000,13.35578852,41.15763401,1854.30463576,3739.62078541,235.64139425,7.00000000,degraded
32.44791667,28.00000000,28.00000000,13.37425787,41.21454978,1854.30463576,3744.79220477,236.02109352,7.00000000,degraded
32.45833333,28.00000000,28.00000000,13.39286786,41.27189891,1854.30463576,3750.00300063,236.40385919,7.00000000,degraded
32.46875000,28.00000000,28.00000000,13.41096073,41.32765450,1854.30463576,3755.06900523,236.77615784,7.00000000,degraded
32.47916667,28.00000000,28.00000000,13.42806781,41.38037222,1854.30463576,3759.85898564,237.12832475,7.00000000,degraded
32.48958333,28.00000000,28.00000000,13.44390398,41.42917350,1854.30463576,3764.29311571,237.45446176,7.00000000,degraded
32.50000000,28.00000000,28.00000000,13.45833591,41.47364740,1854.30463576,3768.33405538,237.75179027,7.00000000,degraded
32.51041667,28.00000000,28.00000000,13.47135564,41.51376944,1854.30463576,3771.97958056,238.02011563,7.00000000,degraded
32.52083333,28.00000000,28.00000000,13.48304382,41.54978809,1854.30463576,3775.25226841,238.26107228,7.00000000,degraded
32.53125000,28.00000000,28.00000000,13.49352647,41.58209178,1854.30463576,3778.18741199,238.47723599,7.00000000,degraded
32.54166667,28.00000000,28.00000000,13.50295254,41.61113947,1854.30463576,3780.82671184,238.67165965,7.00000000,degraded
32.55208333,28.00000000,28.00000000,13.51147565,41.63740455,1854.30463576,3783.21318167,238.84749768,7.00000000,degraded
32.56250000,28.00000000,28.00000000,13.51923720,41.66132279,1854.30463576,3785.38641471,239.00765642,7.00000000,degraded
32.57291667,28.00000000,28.00000000,13.52636161,41.68327763,1854.30463576,3787.38125189,239.15469518,7.00000000,degraded
32.58333333,28.00000000,28.00000000,13.53295272,41.70358899,1854.30463576,3789.22676161,239.29075015,7.00000000,degraded
32.59375000,28.00000000,28.00000000,13.53909099,41.72250488,1854.30463576,3790.94547657,239.41747751,7.00000000,degraded
32.60416667,28.00000000,28.00000000,13.54483520,41.74020643,1854.30463576,3792.55385594,239.53608685,7.00000000,degraded
32.61458333,28.00000000,28.00000000,13.55022789,41.75682471,1854.30463576,3794.06380837,239.64745308,7.00000000,degraded
32.62500000,28.00000000,28.00000000,13.55530169,41.77246030,1854.30463576,3795.48447207,239.75224742,7.00000000,degraded
32.63541667,28.00000000,28.00000000,13.56008458,41.78719942,1854.30463576,3796.82368236,239.85104546,7.00000000,degraded
32.64583333,28.00000000,28.00000000,13.56460052,41.80111588,1854.30463576,3798.08814445,239.94433981,7.00000000,degraded
32.65625000,28.00000000,28.00000000,13.56886671,41.81426271,1854.30463576,3799.28267823,240.03248431,7.00000000,degraded
32.66666667,28.00000000,28.00000000,13.57289097,41.82666400,1854.30463576,3800.40947073,240.11563872,7.00000000,degraded
