file,method,quantile,recall,fp_per_hour,tia,delay
valve1\2.csv,F0,0.99,0.0,0.0,0.0,
valve1\2.csv,F0,0.995,0.0,0.0,0.0,
valve1\2.csv,F0,0.999,0.0,0.0,0.0,
valve1\2.csv,F2,0.9,1.0,13.953488372093023,0.7441860465116279,-58.0
valve1\2.csv,F2,0.99,0.0,0.0,0.0,
valve1\2.csv,F2,0.995,0.0,0.0,0.0,
valve1\2.csv,F2,0.999,0.0,0.0,0.0,
valve1\2.csv,F3,0.9,0.0,0.0,0.0,
valve1\2.csv,F3,0.99,0.0,0.0,0.0,
valve1\2.csv,F3,0.995,0.0,0.0,0.0,
valve1\2.csv,F3,0.999,0.0,0.0,0.0,
valve1\3.csv,F0,0.9,0.0,0.0,0.0,
valve1\3.csv,F0,0.99,0.0,0.0,0.0,
valve1\3.csv,F0,0.995,0.0,0.0,0.0,
valve1\3.csv,F0,0.999,0.0,0.0,0.0,
valve1\3.csv,F2,0.9,1.0,0.0,0.23484848484848486,-37.0
valve1\3.csv,F2,0.99,1.0,13.636363636363637,0.19318181818181818,-36.0
valve1\3.csv,F2,0.995,1.0,13.636363636363637,0.19318181818181818,-36.0
valve1\3.csv,F2,0.999,1.0,13.636363636363637,0.19318181818181818,-36.0
valve1\3.csv,F3,0.9,0.0,0.0,0.0,
valve1\3.csv,F3,0.99,0.0,0.0,0.0,
valve1\3.csv,F3,0.995,0.0,0.0,0.0,
valve1\3.csv,F3,0.999,0.0,0.0,0.0,
valve1\4.csv,F0,0.9,0.0,0.0,0.0,
valve1\4.csv,F0,0.99,0.0,0.0,0.0,
valve1\4.csv,F0,0.995,0.0,0.0,0.0,
valve1\4.csv,F0,0.999,0.0,0.0,0.0,
valve1\4.csv,F2,0.9,0.0,27.06766917293233,0.5789473684210527,
valve1\4.csv,F2,0.99,1.0,13.533834586466165,0.31954887218045114,-34.0
valve1\4.csv,F2,0.995,1.0,13.533834586466165,0.2894736842105263,-34.0
valve1\4.csv,F2,0.999,1.0,13.533834586466165,0.19172932330827067,-11.0
valve1\4.csv,F3,0.9,0.0,0.0,0.0,
valve1\4.csv,F3,0.99,0.0,0.0,0.0,
valve1\4.csv,F3,0.995,0.0,0.0,0.0,
valve1\4.csv,F3,0.999,0.0,0.0,0.0,
valve1\5.csv,F0,0.9,0.0,0.0,0.0,
valve1\5.csv,F0,0.99,0.0,0.0,0.0,
valve1\5.csv,F0,0.995,0.0,0.0,0.0,
valve1\5.csv,F0,0.999,0.0,0.0,0.0,
valve1\5.csv,F2,0.9,0.0,0.0,0.0,
valve1\5.csv,F2,0.99,0.0,0.0,0.0,
valve1\5.csv,F2,0.995,0.0,0.0,0.0,
valve1\5.csv,F2,0.999,0.0,0.0,0.0,
valve1\5.csv,F3,0.9,0.0,0.0,0.0,
valve1\5.csv,F3,0.99,0.0,0.0,0.0,
valve1\5.csv,F3,0.995,0.0,0.0,0.0,
valve1\5.csv,F3,0.999,0.0,0.0,0.0,
valve1\6.csv,F0,0.9,0.0,0.0,0.0,
valve1\6.csv,F0,0.99,0.0,0.0,0.0,
valve1\6.csv,F0,0.995,0.0,0.0,0.0,
valve1\6.csv,F0,0.999,0.0,0.0,0.0,
valve1\6.csv,F2,0.9,1.0,0.0,0.0,45.0
valve1\6.csv,F2,0.99,0.0,0.0,0.0,
valve1\6.csv,F2,0.995,0.0,0.0,0.0,
valve1\6.csv,F2,0.999,0.0,0.0,0.0,
valve1\6.csv,F3,0.9,0.0,0.0,0.0,
valve1\6.csv,F3,0.99,0.0,0.0,0.0,
valve1\6.csv,F3,0.995,0.0,0.0,0.0,
valve1\6.csv,F3,0.999,0.0,0.0,0.0,
valve1\7.csv,F0,0.9,0.0,0.0,0.0,
valve1\7.csv,F0,0.99,0.0,0.0,0.0,
valve1\7.csv,F0,0.995,0.0,0.0,0.0,
valve1\7.csv,F0,0.999,0.0,0.0,0.0,
valve1\7.csv,F2,0.9,1.0,17.22488038277512,0.3492822966507177,-3.0
valve1\7.csv,F2,0.99,1.0,17.22488038277512,0.27751196172248804,33.0
valve1\7.csv,F2,0.995,1.0,17.22488038277512,0.27751196172248804,39.0
valve1\7.csv,F2,0.999,1.0,17.22488038277512,0.27751196172248804,39.0
valve1\7.csv,F3,0.9,0.0,0.0,0.0,
valve1\7.csv,F3,0.99,0.0,0.0,0.0,
valve1\7.csv,F3,0.995,0.0,0.0,0.0,
valve1\7.csv,F3,0.999,0.0,0.0,0.0,
valve1\8.csv,F0,0.9,0.0,0.0,0.0,
valve1\8.csv,F0,0.99,0.0,0.0,0.0,
valve1\8.csv,F0,0.995,0.0,0.0,0.0,
valve1\8.csv,F0,0.999,0.0,0.0,0.0,
valve1\8.csv,F2,0.9,1.0,0.0,0.6515151515151515,34.0
valve1\8.csv,F2,0.99,0.0,13.636363636363637,0.42045454545454547,
valve1\8.csv,F2,0.995,0.0,13.636363636363637,0.42045454545454547,
valve1\8.csv,F2,0.999,0.0,13.636363636363637,0.42045454545454547,
valve1\8.csv,F3,0.9,1.0,0.0,0.0,54.0
valve1\8.csv,F3,0.99,1.0,0.0,0.0,151.0
valve1\8.csv,F3,0.995,1.0,0.0,0.0,338.0
valve1\8.csv,F3,0.999,1.0,0.0,0.0,341.0
valve1\9.csv,F0,0.9,0.0,0.0,0.0,
valve1\9.csv,F0,0.99,0.0,0.0,0.0,
valve1\9.csv,F0,0.995,0.0,0.0,0.0,
valve1\9.csv,F0,0.999,0.0,0.0,0.0,
valve1\9.csv,F2,0.9,1.0,0.0,0.19172932330827067,-7.0
valve1\9.csv,F2,0.99,1.0,0.0,0.0,13.0
valve1\9.csv,F2,0.995,1.0,0.0,0.0,13.0
valve1\9.csv,F2,0.999,1.0,0.0,0.0,13.0
valve1\9.csv,F3,0.9,0.0,27.06766917293233,0.41729323308270677,
valve1\9.csv,F3,0.99,1.0,13.533834586466165,0.16541353383458646,183.0
valve1\9.csv,F3,0.995,1.0,13.533834586466165,0.16165413533834586,183.0
valve1\9.csv,F3,0.999,1.0,13.533834586466165,0.16165413533834586,184.0
valve2\0.csv,F0,0.9,0.0,0.0,0.0,
valve2\0.csv,F0,0.99,0.0,0.0,0.0,
