cal_mode,file,method,quantile,recall,fp_per_hour,delay,time_in_alarm
mid,valve1\8.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\8.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\8.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\8.csv,F2,0.9,1.0,20.930232558139533,388.0,1.0
mid,valve1\8.csv,F2,0.99,1.0,20.930232558139533,35.0,0.6453488372093024
mid,valve1\8.csv,F2,0.995,0.0,20.930232558139533,,0.6453488372093024
mid,valve1\8.csv,F2,0.999,0.0,20.930232558139533,,0.6453488372093024
mid,valve1\8.csv,F3,0.9,1.0,20.930232558139533,320.0,0.25
mid,valve1\8.csv,F3,0.99,1.0,0.0,43.0,0.0
mid,valve1\8.csv,F3,0.995,1.0,0.0,43.0,0.0
mid,valve1\8.csv,F3,0.999,1.0,0.0,44.0,0.0
mid,valve1\9.csv,F0,0.9,0.0,0.0,,0.0
mid,valve1\9.csv,F0,0.99,0.0,0.0,,0.0
mid,valve1\9.csv,F0,0.995,0.0,0.0,,0.0
mid,valve1\9.csv,F0,0.999,0.0,0.0,,0.0
mid,valve1\9.csv,F2,0.9,1.0,20.930232558139533,137.0,0.2558139534883721
mid,valve1\9.csv,F2,0.99,0.0,0.0,,0.0
mid,valve1\9.csv,F2,0.995,0.0,0.0,,0.0
mid,valve1\9.csv,F2,0.999,0.0,0.0,,0.0
mid,valve1\9.csv,F3,0.9,1.0,20.930232558139533,398.0,0.313953488372093
mid,valve1\9.csv,F3,0.99,1.0,20.930232558139533,181.0,0.23255813953488372
mid,valve1\9.csv,F3,0.995,1.0,20.930232558139533,182.0,0.22093023255813954
mid,valve1\9.csv,F3,0.999,1.0,20.930232558139533,183.0,0.21511627906976744
mid,valve2\0.csv,F0,0.9,0.0,0.0,,0.0
mid,valve2\0.csv,F0,0.99,0.0,0.0,,0.0
mid,valve2\0.csv,F0,0.995,0.0,0.0,,0.0
mid,valve2\0.csv,F0,0.999,0.0,0.0,,0.0
mid,valve2\0.csv,F2,0.9,1.0,21.301775147928996,216.0,0.0
mid,valve2\0.csv,F2,0.99,0.0,0.0,,0.0
mid,valve2\0.csv,F2,0.995,0.0,0.0,,0.0
mid,valve2\0.csv,F2,0.999,0.0,0.0,,0.0
mid,valve2\0.csv,F3,0.9,1.0,21.301775147928996,-28.0,0.8816568047337278
mid,valve2\0.csv,F3,0.99,1.0,21.301775147928996,191.0,0.46745562130177515
mid,valve2\0.csv,F3,0.995,1.0,0.0,251.0,0.0
mid,valve2\0.csv,F3,0.999,1.0,0.0,251.0,0.0
mid,valve2\1.csv,F0,0.9,0.0,0.0,,0.0
mid,valve2\1.csv,F0,0.99,0.0,0.0,,0.0
mid,valve2\1.csv,F0,0.995,0.0,0.0,,0.0
mid,valve2\1.csv,F0,0.999,0.0,0.0,,0.0
mid,valve2\1.csv,F2,0.9,0.0,0.0,,0.0
mid,valve2\1.csv,F2,0.99,0.0,0.0,,0.0
mid,valve2\1.csv,F2,0.995,0.0,0.0,,0.0
mid,valve2\1.csv,F2,0.999,0.0,0.0,,0.0
mid,valve2\1.csv,F3,0.9,1.0,18.09045226130653,329.0,0.4271356783919598
mid,valve2\1.csv,F3,0.99,0.0,18.09045226130653,,0.22613065326633167
mid,valve2\1.csv,F3,0.995,0.0,18.09045226130653,,0.22110552763819097
mid,valve2\1.csv,F3,0.999,0.0,18.09045226130653,,0.22110552763819097
mid,valve2\2.csv,F0,0.9,0.0,0.0,,0.0
